epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.14991,0.95113,2.61846,1.48182,0.00333,1,0.23284,0.17824,0.29769,2.89027,1.12546,8e-05,8e-05,8e-05
2,4.32011,0.87764,2.36548,1.37285,0.00333,1,0.92272,0.56874,0.50855,2.87149,1.26714,0.000178218,0.000178218,0.000178218
3,5.54375,0.74463,1.54251,1.32657,0.84342,0.7705,0.92345,0.64564,0.59169,2.75347,1.41035,0.000274456,0.000274456,0.000274456
4,6.72456,0.75573,1.38559,1.30969,0.00333,1,0.93496,0.68811,0.6958,2.89195,1.44017,0.000368714,0.000368714,0.000368714
5,7.89871,0.74024,1.30786,1.31713,0.76441,0.92713,0.94806,0.72691,0.61054,2.52502,1.29986,0.000460992,0.000460992,0.000460992
6,9.06302,0.72054,1.36211,1.22721,1,0.3178,0.87664,0.58869,0.75047,2.59944,1.44788,0.00055129,0.00055129,0.00055129
7,10.2185,0.70192,1.27677,1.2526,0.86347,0.90461,0.9355,0.55335,0.96136,2.21614,2.04729,0.000639608,0.000639608,0.000639608
8,11.3693,0.7484,1.33955,1.29743,1,0.74211,0.94744,0.46841,1.11766,2.69194,2.25854,0.000725946,0.000725946,0.000725946
9,12.5234,0.77065,1.26277,1.30328,0.2547,0.35714,0.25842,0.15237,1.28878,3.15732,2.35336,0.000810304,0.000810304,0.000810304
10,13.6671,0.7757,1.27635,1.32528,0.09147,0.14286,0.10618,0.0295,2.38747,3.74656,3.35009,0.000892682,0.000892682,0.000892682
11,14.8077,0.7831,1.20237,1.29874,0.42878,0.21429,0.36294,0.08001,2.11676,3.36698,3.30703,0.00097308,0.00097308,0.00097308
12,15.9517,0.71577,1.12752,1.28208,0.4979,0.56693,0.52893,0.25342,2.32971,3.05918,5.71609,0.0010515,0.0010515,0.0010515
13,17.0909,0.75214,1.04168,1.26169,0.43561,0.71429,0.42769,0.15375,2.44945,3.31433,6.1564,0.00112794,0.00112794,0.00112794
14,18.2403,0.69146,1.09339,1.23738,0.91256,0.74702,0.89062,0.59816,0.98467,1.85986,2.12945,0.00120239,0.00120239,0.00120239
15,19.389,0.75198,1.08191,1.24893,0.91138,0.92857,0.97765,0.38399,1.23499,2.34481,2.42387,0.00127487,0.00127487,0.00127487
16,20.5283,0.81694,1.18529,1.3196,0.84752,0.78571,0.94456,0.55284,1.05316,1.91275,1.90619,0.00134537,0.00134537,0.00134537
17,21.6776,0.80722,1.11791,1.3453,1,0.8476,0.91941,0.52749,1.56146,1.99445,3.24156,0.00141389,0.00141389,0.00141389
18,22.8143,0.80853,1.11716,1.29765,0.74738,0.92857,0.86869,0.43342,1.80311,1.6249,3.36574,0.00148043,0.00148043,0.00148043
19,23.9512,0.70417,0.99749,1.22438,0.81665,0.63683,0.80729,0.32922,1.8908,1.8976,3.25856,0.00154498,0.00154498,0.00154498
20,25.0941,0.69765,1.00683,1.22451,0.80104,0.92857,0.9195,0.5298,1.13708,2.30245,2.02012,0.00160756,0.00160756,0.00160756
21,26.2338,0.69109,0.89204,1.23403,0.88179,0.71429,0.80837,0.47567,0.9839,3.09762,1.87904,0.001604,0.001604,0.001604
22,27.3699,0.78537,1.0033,1.24787,0.7488,0.6391,0.7426,0.4292,1.17903,2.6704,2.05317,0.0015842,0.0015842,0.0015842
23,28.51,0.70284,0.92866,1.20908,0.89812,0.63078,0.79179,0.42777,1.56308,1.97305,2.44842,0.0015644,0.0015644,0.0015644
24,29.6599,0.77062,1.04368,1.28765,0.98716,0.71429,0.89882,0.54133,1.11269,1.37897,1.78074,0.0015446,0.0015446,0.0015446
25,30.7966,0.6823,0.91853,1.20866,0.99048,0.85714,0.95114,0.61461,1.00572,1.25208,1.72553,0.0015248,0.0015248,0.0015248
26,31.9289,0.71362,0.96266,1.25501,0.81153,0.92304,0.85062,0.42489,1.42908,1.55396,2.52738,0.001505,0.001505,0.001505
27,33.0658,0.71233,0.97084,1.19763,0.7415,0.71429,0.74246,0.3725,1.41027,1.60978,2.75684,0.0014852,0.0014852,0.0014852
28,34.2139,0.67211,0.86191,1.18577,0.33647,0.71429,0.40964,0.20575,1.68965,1.99581,3.28329,0.0014654,0.0014654,0.0014654
29,35.3525,0.69218,0.88244,1.19654,0.74826,0.78571,0.78983,0.43956,1.66731,1.91797,3.85015,0.0014456,0.0014456,0.0014456
30,36.4881,0.71301,0.91169,1.26473,0.57905,0.64286,0.57495,0.27652,1.90312,2.97897,4.09305,0.0014258,0.0014258,0.0014258
31,37.6266,0.6258,0.79774,1.17113,0.45148,0.82378,0.4679,0.22316,1.73984,2.82265,3.01001,0.001406,0.001406,0.001406
32,38.7716,0.78321,1.04135,1.33975,0.6736,0.92857,0.80292,0.50869,1.38244,1.48913,2.43405,0.0013862,0.0013862,0.0013862
33,39.9035,0.75647,0.90958,1.2921,0.81544,0.9476,0.98265,0.60545,1.49077,1.29906,2.69843,0.0013664,0.0013664,0.0013664
34,41.0374,0.73629,0.88941,1.25525,0.98086,1,0.995,0.65799,1.27867,1.02586,2.14381,0.0013466,0.0013466,0.0013466
35,42.1733,0.6151,0.73213,1.16337,0.92515,1,0.995,0.69157,1.04846,1.01103,1.64259,0.0013268,0.0013268,0.0013268
36,43.3178,0.67227,0.7832,1.22239,0.92217,1,0.97633,0.7714,0.83537,1.0521,1.45245,0.001307,0.001307,0.001307
37,44.4689,0.62412,0.7284,1.16852,0.8192,1,0.94562,0.70153,0.9324,1.20358,1.58165,0.0012872,0.0012872,0.0012872
38,45.5995,0.63813,0.8192,1.22809,0.77223,1,0.94774,0.68757,0.95536,1.37382,1.72055,0.0012674,0.0012674,0.0012674
39,46.7319,0.68026,0.78287,1.21333,0.92283,1,0.99033,0.87203,0.59461,0.85491,1.22291,0.0012476,0.0012476,0.0012476
40,47.8914,0.61314,0.79663,1.17272,0.99336,1,0.995,0.92175,0.47558,0.61755,1.09127,0.0012278,0.0012278,0.0012278
41,49.0397,0.66385,0.80002,1.23763,0.99699,1,0.995,0.8495,0.65742,0.64549,1.26964,0.001208,0.001208,0.001208
42,50.1783,0.6484,0.75445,1.18811,0.99122,1,0.995,0.77513,0.78774,0.71909,1.54085,0.0011882,0.0011882,0.0011882
43,51.3129,0.67403,0.78068,1.19367,0.98789,1,0.995,0.77025,0.8413,0.81245,1.63722,0.0011684,0.0011684,0.0011684
44,52.465,0.6234,0.75092,1.18548,0.99506,1,0.995,0.91614,0.52854,0.57167,1.16396,0.0011486,0.0011486,0.0011486
45,53.6,0.57626,0.69212,1.1961,0.99577,1,0.995,0.88813,0.5304,0.53903,1.1286,0.0011288,0.0011288,0.0011288
46,54.7364,0.5669,0.68878,1.18042,0.98891,1,0.995,0.81017,0.63919,0.63962,1.23724,0.001109,0.001109,0.001109
47,55.8704,0.61734,0.67527,1.17541,1,0.96927,0.995,0.74966,0.9616,0.76605,1.58976,0.0010892,0.0010892,0.0010892
48,57.0232,0.58993,0.67054,1.19027,0.98905,1,0.995,0.73091,0.97687,0.77933,1.5552,0.0010694,0.0010694,0.0010694
49,58.1612,0.60665,0.71262,1.19298,0.98363,1,0.995,0.81335,0.67664,0.70061,1.29707,0.0010496,0.0010496,0.0010496
50,59.2973,0.55527,0.65101,1.13302,0.99466,1,0.995,0.87975,0.58314,0.62992,1.2407,0.0010298,0.0010298,0.0010298
51,60.4369,0.58506,0.64163,1.15567,0.99497,1,0.995,0.8284,0.68113,0.69476,1.40419,0.00101,0.00101,0.00101
52,61.5841,0.61941,0.67937,1.17003,0.99728,1,0.995,0.9015,0.49443,0.55421,1.1471,0.0009902,0.0009902,0.0009902
53,62.7215,0.56292,0.66706,1.13276,0.99635,1,0.995,0.92887,0.44532,0.52595,1.08071,0.0009704,0.0009704,0.0009704
54,63.8779,0.587,0.66439,1.14723,0.92742,1,0.967,0.84963,0.44618,0.57722,1.0644,0.0009506,0.0009506,0.0009506
55,65.014,0.61284,0.62803,1.20268,0.92355,1,0.95233,0.82679,0.54435,0.68628,1.11596,0.0009308,0.0009308,0.0009308
56,66.1653,0.56979,0.66169,1.1872,0.93178,1,0.995,0.87122,0.49446,0.67458,1.09053,0.000911,0.000911,0.000911
57,67.3084,0.52324,0.61059,1.12837,0.98809,1,0.995,0.88742,0.4709,0.63862,1.06793,0.0008912,0.0008912,0.0008912
58,68.4452,0.51695,0.65542,1.08244,0.9953,1,0.995,0.88349,0.45005,0.60844,1.04287,0.0008714,0.0008714,0.0008714
59,69.5853,0.54269,0.66547,1.1178,0.98767,1,0.995,0.92397,0.37623,0.53031,1.01203,0.0008516,0.0008516,0.0008516
60,70.7355,0.49868,0.62415,1.11725,0.9959,1,0.995,0.9305,0.41066,0.48194,1.08381,0.0008318,0.0008318,0.0008318
61,71.8954,0.56067,0.5855,1.14414,0.99604,1,0.995,0.85248,0.61012,0.51443,1.29083,0.000812,0.000812,0.000812
62,73.035,0.49624,0.59145,1.05244,0.99603,1,0.995,0.77852,0.78345,0.58563,1.54588,0.0007922,0.0007922,0.0007922
63,74.1744,0.56009,0.62051,1.17509,0.99599,1,0.995,0.75572,0.90165,0.61433,1.79106,0.0007724,0.0007724,0.0007724
64,75.3215,0.53285,0.64658,1.11643,0.99512,1,0.995,0.90204,0.44743,0.47743,1.04253,0.0007526,0.0007526,0.0007526
65,76.4568,0.49178,0.59233,1.09444,0.98836,1,0.995,0.96456,0.34571,0.45272,0.95766,0.0007328,0.0007328,0.0007328
66,77.6165,0.51418,0.59318,1.1247,0.96699,1,0.995,0.98702,0.34008,0.51582,0.9507,0.000713,0.000713,0.000713
67,78.7787,0.51371,0.59221,1.11654,0.91958,1,0.99033,0.96301,0.36525,0.56612,0.96225,0.0006932,0.0006932,0.0006932
68,79.9238,0.54014,0.58325,1.13485,0.99147,1,0.995,0.94605,0.33681,0.48917,0.94899,0.0006734,0.0006734,0.0006734
69,81.0634,0.46875,0.5144,1.06272,0.9828,1,0.995,0.97139,0.29973,0.46573,0.92346,0.0006536,0.0006536,0.0006536
70,82.2012,0.54299,0.58321,1.13609,0.95023,1,0.995,0.98602,0.27788,0.4501,0.92299,0.0006338,0.0006338,0.0006338
71,83.341,0.48057,0.52593,1.05817,0.99137,1,0.995,0.98652,0.28696,0.4267,0.93633,0.000614,0.000614,0.000614
72,84.4927,0.52726,0.60098,1.11181,0.98387,1,0.995,0.97804,0.2898,0.38918,0.93442,0.0005942,0.0005942,0.0005942
73,85.6287,0.48823,0.53248,1.10745,0.98703,1,0.995,0.97704,0.28482,0.39068,0.92129,0.0005744,0.0005744,0.0005744
74,86.7625,0.50678,0.57719,1.12608,1,0.98271,0.995,0.97997,0.30661,0.41024,0.9271,0.0005546,0.0005546,0.0005546
75,87.9005,0.52931,0.61935,1.13751,0.98739,1,0.995,0.93207,0.34403,0.41376,0.97046,0.0005348,0.0005348,0.0005348
76,89.0503,0.45276,0.5164,1.10014,0.99605,1,0.995,0.90652,0.43568,0.36902,1.10471,0.000515,0.000515,0.000515
77,90.1936,0.48463,0.53917,1.09313,0.99584,1,0.995,0.90101,0.43913,0.36647,1.11603,0.0004952,0.0004952,0.0004952
78,91.3277,0.53714,0.56812,1.14005,0.99565,1,0.995,0.88436,0.47126,0.38567,1.14279,0.0004754,0.0004754,0.0004754
79,92.4641,0.45589,0.53074,1.08593,0.99575,1,0.995,0.88593,0.46575,0.39471,1.12477,0.0004556,0.0004556,0.0004556
80,93.6104,0.49206,0.56973,1.10076,0.99579,1,0.995,0.88116,0.44653,0.36869,1.10467,0.0004358,0.0004358,0.0004358
81,94.7419,0.44475,0.49243,1.07742,0.99589,1,0.995,0.89397,0.42222,0.36077,1.08918,0.000416,0.000416,0.000416
82,95.879,0.47065,0.50856,1.07023,0.9959,1,0.995,0.92088,0.40818,0.36012,1.08371,0.0003962,0.0003962,0.0003962
83,97.0181,0.45787,0.51491,1.07658,0.99608,1,0.995,0.9334,0.40472,0.36449,1.06771,0.0003764,0.0003764,0.0003764
84,98.1693,0.38071,0.44379,1.02096,0.99631,1,0.995,0.93633,0.30998,0.38192,0.93913,0.0003566,0.0003566,0.0003566
85,99.3131,0.42756,0.43523,1.04345,0.99621,1,0.995,0.95133,0.29268,0.34301,0.92217,0.0003368,0.0003368,0.0003368
86,100.461,0.41832,0.4549,1.04324,0.99626,1,0.995,0.95469,0.28282,0.32682,0.91574,0.000317,0.000317,0.000317
87,101.602,0.44693,0.5121,1.08227,0.99631,1,0.995,0.96371,0.27777,0.3272,0.91186,0.0002972,0.0002972,0.0002972
88,102.752,0.41396,0.46816,1.04684,0.99635,1,0.995,0.98652,0.26184,0.32432,0.90003,0.0002774,0.0002774,0.0002774
89,103.897,0.40503,0.46317,1.05693,0.99633,1,0.995,0.995,0.24579,0.30943,0.89094,0.0002576,0.0002576,0.0002576
90,105.051,0.39399,0.40204,1.03504,0.99633,1,0.995,0.995,0.23408,0.295,0.88474,0.0002378,0.0002378,0.0002378
91,106.922,0.29269,0.55369,0.9859,0.99636,1,0.995,0.995,0.22363,0.28793,0.87719,0.000218,0.000218,0.000218
92,108.159,0.26892,0.50833,0.95788,0.99638,1,0.995,0.995,0.21229,0.31233,0.86828,0.0001982,0.0001982,0.0001982
93,109.32,0.29714,0.5257,0.9804,0.99633,1,0.995,0.995,0.20914,0.32897,0.86459,0.0001784,0.0001784,0.0001784
94,110.474,0.29366,0.49646,0.98599,0.99637,1,0.995,0.995,0.20816,0.35127,0.86243,0.0001586,0.0001586,0.0001586
95,111.634,0.29011,0.47473,0.95723,0.99677,1,0.995,0.995,0.21368,0.37967,0.86302,0.0001388,0.0001388,0.0001388
96,112.797,0.2559,0.43918,0.96929,0.99696,1,0.995,0.995,0.23794,0.40421,0.87117,0.000119,0.000119,0.000119
97,113.955,0.2549,0.42393,0.92984,0.99694,1,0.995,0.995,0.23804,0.39409,0.87142,9.92e-05,9.92e-05,9.92e-05
98,115.109,0.23061,0.41445,0.93649,0.99693,1,0.995,0.995,0.23593,0.38017,0.87084,7.94e-05,7.94e-05,7.94e-05
99,116.266,0.2182,0.39365,0.90061,0.99692,1,0.995,0.995,0.22866,0.36577,0.86752,5.96e-05,5.96e-05,5.96e-05
100,117.435,0.22586,0.38364,0.93118,0.99677,1,0.995,0.98395,0.21657,0.34059,0.86274,3.98e-05,3.98e-05,3.98e-05
